,match_id,home_team,away_team,match_date,home_team_defense,away_team_defense
65,22668,Man City,Man Utd,2018-04-07,"['Danilo', 'VincentKompany', 'NicolasOtamendi', 'FabianDelph']","['LuisAntonioValencia', 'EricBailly', 'ChrisSmalling', 'AshleyYoung']"
66,22652,Arsenal,Stoke,2018-03-31,"['HectorBellerin', 'ShkodranMustafi', 'CalumChambers', 'NachoMonreal']","['GlenJohnson', 'RyanShawcross', 'BrunoMartinsIndi', 'ErikPieters']"
67,22654,Chelsea,Spurs,2018-03-31,"['CesarAzpilicueta', 'AndreasChristensen', 'AntonioRudiger']","['KieranTrippier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']"
68,22655,Crystal Palace,Liverpool,2018-03-31,"['AaronWanBissaka', 'MartinKelly', 'MamadouSakho', 'PatrickvanAanholt']","['TrentAlexanderArnold', 'JoelMatip', 'VirgilvanDijk', 'AndrewRobertson']"
69,22653,Brighton,Leicester,2018-03-31,"['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']","['DannySimpson', 'WesMorgan', 'HarryMaguire', 'BenChilwell']"
70,22657,Man Utd,Swansea,2018-03-31,"['LuisAntonioValencia', 'ChrisSmalling', 'VictorLindelof', 'AshleyYoung']","['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']"
71,22658,Newcastle,Huddersfield,2018-03-31,"['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']","['TommySmith', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo']"
72,22660,Watford,Bournemouth,2018-03-31,"['DarylJanmaat', 'SebastianProdl', 'AdrianMariappa', 'JoseHolebas']","['RyanFraser', 'SteveCook', 'NathanAke', 'CharlieDaniels']"
73,22661,West Brom,Burnley,2018-03-31,"['CraigDawson', 'JonnyEvans', 'AhmedHegazi']","['MatthewLowton', 'JamesTarkowski', 'BenMee', 'StephenWard']"
74,22361,West Ham,Southampton,2018-03-31,"['DeclanRice', 'AngeloOgbonna', 'AaronCresswell']","['CedricSoares', 'JackStephens', 'WesleyHoedt', 'RyanBertrand']"
75,22656,Everton,Man City,2018-03-31,"['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']","['NicolasOtamendi', 'VincentKompany', 'AymericLaporte']"
76,22642,Bournemouth,West Brom,2018-03-17,"['SimonFrancis', 'SteveCook', 'NathanAke', 'AdamSmith']","['CraigDawson', 'JonnyEvans', 'AhmedHegazi']"
77,22644,Huddersfield,Crystal Palace,2018-03-17,"['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'ScottMalone']","['AaronWanBissaka', 'JamesTomkins', 'MamadouSakho', 'PatrickvanAanholt']"
78,22648,Stoke,Everton,2018-03-17,"['GlenJohnson', 'RyanShawcross', 'KurtZouma', 'KonstantinosStafylidis']","['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']"
